Name	Note	Gender	Adjective	Clan	Wing	Blood Potency	Humanity	Current Age	Sexual Orientation	Striking Looks	Vice	Virtue	Area of Influence	Bloodline	Gender	Title	Siring Year	Secrets	Flaws	Arrival	Sire	Status	Location	Derangements	Apparent Age	Childer	Status (Clan)	Status (Covenant)	Status (City)	Favors	Player	
Placeholder		Male	Helpless	Ventrue	Senex	3	6	100	Straight	Normal	Envy	Faith	Property		Male									Paranoia	23							
Placeholder		Male	Angry	Ventrue	Peregrine Collegia	1	4	100	Straight	Striking Looks 4	Lust	Faith	Kine		Male									Depression	19							
Placeholder		Male	Superficial	Gangrel	Legio Mortuum	3	4	100	Straight	Striking Looks 4	Wrath	Justice	Senex		Male									Phobia	58							
Placeholder		Male	Imminent	Daeva	Peregrine Collegia	1	5	500	Bisexual	Normal	Pride	Hope	Money		Male									No derangement	18							
Placeholder		Female	Self-reliant	Mekhet	Legio Mortuum	2	5	50	Bisexual	Normal	Lust	Hope	Legio Mortuum		Female									Vocalization	25							
Placeholder		Female	Fanatical	Ventrue	Legio Mortuum	2	6	75	Straight	Striking Looks 2	Greed	Charity	Legio Mortuum		Female									Phobia	20							
Placeholder		Female	Rough	Nosferatu	Senex	3	4	75	Straight	Normal	Greed	Charity	Exotic Imports And Slaves		Female									Melancholia	38							
Placeholder		Female	Squalid	Ventrue	Peregrine Collegia	2	7	75	Straight	Normal	Wrath	Fortitude	Trade		Female									Fixation	23							
Placeholder		Female	Tacky	Julii	Cult of Augurs	2	4	75	Straight	Normal	Greed	Prudence	Patricians		Female									No derangement	71							
Placeholder		Female	Wary	Mekhet	Senex	2	4	250	Straight	Normal	Lust	Faith	Nosferatu		Female									No derangement	25							
Placeholder		Female	Nonstop	Ventrue	Legio Mortuum	3	6	50	Straight	Striking Looks 4	Sloth	Fortitude	Kine		Female									No derangement	31							
Placeholder		Male	Mysterious	Julii	Cult of Augurs	3	5	50	Straight	Striking Looks 2	Sloth	Justice	Curios		Male									No derangement	27							
Placeholder		Male	Unkempt	Nosferatu	Cult of Augurs	2	4	75	Straight	Normal	Envy	Fortitude	Blood		Male									Vocalization	47							
Placeholder		Male	Subsequent	Ventrue	Legio Mortuum	1	4	75	Gay	Normal	Greed	Temperance	Nosferatu		Male									No derangement	30							
Placeholder		Male	Great	Gangrel	Legio Mortuum	2	7	250	Straight	Normal	Pride	Prudence	Money		Male									No derangement	49							
Placeholder		Female	Sleepy	Julii	Legio Mortuum	2	4	50	Bisexual	Normal	Sloth	Hope	Merchants		Female									Narcissism	28							
Placeholder		Male	Cuddly	Mekhet	Senex	3	4	50	Bisexual	Striking Looks 2	Gluttony	Hope	Cult Of Augurs		Male									Suspicion	38							
Placeholder		Female	Disagreeable	Daeva	Peregrine Collegia	1	4	100	Gay	Striking Looks 2	Pride	Fortitude	Money		Female									No derangement	45							
Placeholder		Male	Crowded	Gangrel	Cult of Augurs	2	4	50	Straight	Normal	Lust	Faith	Entertainment		Male									No derangement	40							
Placeholder		Male	Various	Julii	Legio Mortuum	4	3	500	Straight	Normal	Lust	Temperance	Trade		Male									No derangement	33							
Placeholder		Male	Faint	Gangrel	Peregrine Collegia	1	2	75	Straight	Normal	Gluttony	Faith	Neonates		Male									No derangement	14							
Placeholder		Female	Hard	Mekhet	Cult of Augurs	2	6	250	Straight	Striking Looks 2	Sloth	Fortitude	Auguries		Female									No derangement	21							
Placeholder		Female	Ill-fated	Julii	Peregrine Collegia	2	4	100	Straight	Normal	Lust	Fortitude	Property		Female									No derangement	25							
Placeholder		Male	Precious	Mekhet	Legio Mortuum	2	2	75	Gay	Normal	Pride	Temperance	Vigor Trainer		Male									Narcissism	37							
Placeholder		Male	Glossy	Mekhet	Cult of Augurs	2	5	75	Bisexual	Normal	Pride	Temperance	Human Religions		Male									Megalomania	70							
Placeholder		Male	Abrupt	Julii	Peregrine Collegia	1	4	100	Gay	Striking Looks 4	Pride	Prudence	Legio Mortuum		Male									Phobia	43							
Placeholder		Male	Benevolent	Julii	Cult of Augurs	2	6	150	Straight	Normal	Wrath	Faith	Political And Financial Broker		Male									Phobia	27							
Placeholder		Male	Hateful	Julii	Legio Mortuum	2	3	100	Straight	Normal	Greed	Temperance	Investigation		Male									Obsessive Compulsion	29							
Placeholder		Male	Gullible	Daeva	Cult of Augurs	3	3	75	Straight	Striking Looks 2	Gluttony	Prudence	Human Religions		Male									Inferiority Complex	51							
Placeholder		Male	Equable	Nosferatu	Peregrine Collegia	2	7	75	Straight	Striking Looks 4	Gluttony	Faith	Artists		Male									No derangement	28							
Placeholder		Female	Statuesque	Daeva	Senex	9	6	75	Straight	Striking Looks 2	Envy	Hope	Curios		Female									No derangement	26							
Placeholder		Female	Mild	Gangrel	Legio Mortuum	3	6	350	Gay	Normal	Wrath	Hope	Cult Of Augurs		Female									Inferiority Complex	22							
Placeholder		Female	Ill-fated	Ventrue	Legio Mortuum	3	7	100	Gay	Normal	Greed	Temperance	Legio Mortuum		Female									No derangement	16							
Placeholder		Female	Natural	Gangrel	Cult of Augurs	5	3	100	Straight	Normal	Gluttony	Hope	Lore		Female									Narcissism	34							
Placeholder		Female	Discreet	Daeva	Legio Mortuum	2	4	75	Gay	Striking Looks 2	Wrath	Fortitude	Human Religions		Female									No derangement	32							
Placeholder		Male	Philosophical	Nosferatu	Legio Mortuum	5	5	100	Bisexual	Striking Looks 2	Sloth	Fortitude	Political And Financial Broker		Male									No derangement	43							
Placeholder		Female	Obese	Ventrue	Cult of Augurs	3	6	50	Straight	Normal	Envy	Faith	Human Religions		Female									No derangement	26							
Placeholder		Male	Domineering	Mekhet	Senex	3	5	75	Straight	Normal	Greed	Faith	Curios		Male									Melancholia	44							
Placeholder		Male	Selfish	Daeva	Legio Mortuum	2	4	100	Straight	Striking Looks 2	Envy	Hope	Political And Financial Broker		Male									No derangement	25							
Placeholder		Female	Direful	Daeva	Cult of Augurs	4	4	100	Straight	Striking Looks 2	Lust	Faith	Soldier Training		Female									No derangement	53							
Placeholder		Male	Limping	Nosferatu	Legio Mortuum	6	4	75	Straight	Normal	Pride	Prudence	Soldier Training		Male									No derangement	35							
Placeholder		Male	Open	Nosferatu	Peregrine Collegia	3	6	100	Gay	Normal	Pride	Fortitude	Crime		Male									Irrationality	33							
Placeholder		Male	Turquoise	Ventrue	Peregrine Collegia	2	4	50	Gay	Normal	Wrath	Fortitude	Soldier Training		Male									Avoidance	23							
Placeholder		Male	Peaceful	Julii	Peregrine Collegia	1	2	100	Gay	Normal	Greed	Fortitude	Senex		Male									No derangement	45							
Placeholder		Male	Toothsome	Mekhet	Legio Mortuum	2	5	100	Straight	Normal	Sloth	Justice	Human Religions		Male									No derangement	16							
Placeholder		Male	Sad	Mekhet	Cult of Augurs	1	4	75	Bisexual	Normal	Wrath	Temperance	Honorius		Male									Suspicion	26							
Placeholder		Female	Pleasant	Julii	Peregrine Collegia	5	5	150	Bisexual	Normal	Greed	Justice	Nosferatu		Female									No derangement	24							
Placeholder		Female	Anxious	Nosferatu	Peregrine Collegia	1	5	75	Gay	Normal	Envy	Charity	Peregrine Collegia		Female									No derangement	40							
Placeholder		Female	Green	Nosferatu	Legio Mortuum	2	3	75	Gay	Normal	Pride	Justice	Entertainment		Female									Anxiety	31							
Placeholder		Male	Prolific	Gangrel	Peregrine Collegia	1	4	50	Gay	Normal	Gluttony	Hope	Money		Male									No derangement	11							
Placeholder		Male	Dazzling	Nosferatu	Senex	2	6	75	Straight	Normal	Gluttony	Temperance	Senex		Male									Obsessive Compulsion	41							
Placeholder		Male	Gruesome	Gangrel	Cult of Augurs	2	4	75	Bisexual	Normal	Wrath	Prudence	Trade		Male									Irrationality	46							
Placeholder		Male	Sulky	Daeva	Senex	1	2	100	Straight	Normal	Wrath	Justice	Exotic Imports And Slaves		Male									No derangement	21							
Placeholder		Male	Cheap	Ventrue	Cult of Augurs	2	4	75	Straight	Normal	Gluttony	Fortitude	Nosferatu		Male									No derangement	22							
Placeholder		Female	Tight	Mekhet	Peregrine Collegia	2	6	75	Bisexual	Normal	Envy	Prudence	Exotic Imports And Slaves		Female									Vocalization	60							
Placeholder		Male	Valuable	Julii	Senex	5	5	75	Straight	Normal	Gluttony	Prudence	Auspex		Male									No derangement	22							
Placeholder		Female	Onerous	Gangrel	Peregrine Collegia	2	2	50	Bisexual	Striking Looks 4	Envy	Justice	Blood		Female									No derangement	37							
Placeholder		Female	Handy	Daeva	Legio Mortuum	1	6	75	Straight	Striking Looks 2	Sloth	Faith	Mercenary Work		Female									No derangement	27							
Placeholder		Female	Honorable	Mekhet	Cult of Augurs	8	6	150	Straight	Normal	Greed	Temperance	Construction		Female									No derangement	21							
Placeholder		Female	Left	Daeva	Peregrine Collegia	1	2	50	Straight	Striking Looks 2	Envy	Faith	Curios		Female									No derangement	62							
Placeholder		Female	Fierce	Gangrel	Senex	2	4	75	Straight	Normal	Greed	Charity	Vigor Trainer		Female									No derangement	64							
Placeholder		Female	Cynical	Julii	Peregrine Collegia	2	3	50	Straight	Normal	Wrath	Prudence	Investigation		Female									No derangement	49							
Placeholder		Male	Wild	Nosferatu	Peregrine Collegia	1	4	150	Bisexual	Normal	Greed	Faith	Senex		Male									No derangement	25							
Placeholder		Male	Irritating	Mekhet	Peregrine Collegia	2	5	150	Gay	Normal	Sloth	Faith	Curios		Male									No derangement	17							
Placeholder		Female	Handsome	Nosferatu	Legio Mortuum	1	6	100	Straight	Normal	Envy	Prudence	Money		Female									No derangement	20							
Placeholder		Female	Mean	Daeva	Legio Mortuum	4	6	150	Straight	Striking Looks 2	Greed	Prudence	Soldier Training		Female									No derangement	46							
Placeholder		Female	Moaning	Daeva	Cult of Augurs	1	4	100	Straight	Striking Looks 2	Greed	Charity	Tax Collectors		Female									No derangement	19							
Placeholder		Female	Famous	Gangrel	Peregrine Collegia	3	4	100	Straight	Normal	Wrath	Temperance	Political And Financial Broker		Female									Phobia	28							
Placeholder		Male	Chaste	Nosferatu	Cult of Augurs	2	2	75	Straight	Normal	Gluttony	Fortitude	Patricians		Male									No derangement	22							
Placeholder		Female	Hellish	Nosferatu	Peregrine Collegia	1	4	75	Straight	Normal	Envy	Justice	Political And Financial Broker		Female									No derangement	60							
Placeholder		Female	Miscreant	Daeva	Legio Mortuum	5	2	100	Straight	Striking Looks 2	Greed	Temperance	Neonates		Female									No derangement	21							
Placeholder		Male	Frequent	Nosferatu	Senex	2	5	250	Straight	Normal	Greed	Faith	Cult Of Augurs		Male									No derangement	58							
Placeholder		Female	Salty	Daeva	Peregrine Collegia	6	5	50	Straight	Striking Looks 2	Greed	Hope	Money		Female									Fixation	19							
Placeholder		Male	Tremendous	Ventrue	Cult of Augurs	4	4	75	Straight	Normal	Lust	Temperance	Artists		Male									No derangement	35							
Placeholder		Male	Scientific	Mekhet	Peregrine Collegia	1	5	100	Gay	Striking Looks 4	Sloth	Charity	Peregrine Collegia		Male									No derangement	37							
Placeholder		Male	Damp	Mekhet	Senex	2	5	500	Straight	Normal	Sloth	Hope	Curios		Male									Depression	52							
Placeholder		Female	Companionable	Mekhet	Senex	2	4	75	Gay	Normal	Sloth	Charity	Honorius		Female									No derangement	34							
Placeholder		Female	Venomous	Julii	Senex	3	5	75	Gay	Normal	Envy	Charity	Soldier Training		Female									No derangement	51							
Placeholder		Female	Adroit	Julii	Senex	4	4	75	Bisexual	Normal	Wrath	Justice	Soldier Training		Female									No derangement	29							
Placeholder		Male	Flat	Ventrue	Peregrine Collegia	1	3	100	Gay	Normal	Sloth	Charity	Nosferatu		Male									No derangement	35							
Placeholder		Male	Wandering	Ventrue	Peregrine Collegia	2	4	75	Straight	Striking Looks 4	Sloth	Temperance	Auguries		Male									Avoidance	74							
Placeholder		Male	Companionable	Nosferatu	Cult of Augurs	2	4	150	Straight	Normal	Wrath	Faith	Kine		Male									No derangement	46							
Placeholder		Male	Tame	Daeva	Senex	4	4	75	Straight	Striking Looks 2	Lust	Charity	Money		Male									No derangement	41							
Placeholder		Female	Volatile	Ventrue	Legio Mortuum	2	7	50	Straight	Normal	Greed	Faith	Cult Of Augurs		Female									Narcissism	32							
Placeholder		Male	Cluttered	Nosferatu	Legio Mortuum	2	5	100	Straight	Striking Looks 2	Wrath	Prudence	Camarilla		Male									No derangement	22							
Placeholder		Male	Bored	Julii	Cult of Augurs	2	4	75	Straight	Normal	Sloth	Charity	Tax Collectors		Male									No derangement	23							
Placeholder		Female	Knotty	Mekhet	Cult of Augurs	4	5	75	Bisexual	Striking Looks 4	Wrath	Hope	Kine		Female									No derangement	24							
Placeholder		Female	Craven	Nosferatu	Peregrine Collegia	5	5	150	Straight	Normal	Pride	Prudence	Trade		Female									No derangement	45							
Placeholder		Female	Odd	Ventrue	Legio Mortuum	2	6	100	Straight	Normal	Wrath	Fortitude	Merchants		Female									No derangement	30							
Placeholder		Male	Strange	Nosferatu	Legio Mortuum	2	7	250	Straight	Normal	Wrath	Charity	Peregrine Collegia		Male									No derangement	45							
Placeholder		Male	Tedious	Ventrue	Senex	2	3	75	Straight	Normal	Wrath	Faith	Investigation		Male									No derangement	23							
Placeholder		Female	Changeable	Julii	Cult of Augurs	2	2	75	Straight	Normal	Wrath	Faith	Frontline Soldier		Female									No derangement	18							
Placeholder		Male	Accommodating	Daeva	Cult of Augurs	2	5	100	Bisexual	Striking Looks 2	Sloth	Faith	Kine		Male									Melancholia	19							
Placeholder		Female	Uncovered	Nosferatu	Cult of Augurs	2	5	350	Straight	Normal	Sloth	Hope	Soldier Training		Female									No derangement	47							
Placeholder		Female	Motionless	Daeva	Peregrine Collegia	2	5	100	Straight	Normal	Wrath	Prudence	Peregrine Collegia		Female									No derangement	76							
Placeholder		Female	Fancy	Ventrue	Legio Mortuum	2	4	75	Straight	Normal	Sloth	Temperance	Mercenary Work		Female									No derangement	37							
Placeholder		Female	Absurd	Julii	Senex	1	1	150	Straight	Normal	Greed	Fortitude	Exotic Imports And Slaves		Female									No derangement	22							
Placeholder		Female	Hot	Ventrue	Cult of Augurs	4	6	75	Bisexual	Normal	Pride	Justice	Information		Female									No derangement	35							
Placeholder		Male	Rhetorical	Ventrue	Cult of Augurs	3	3	100	Bisexual	Striking Looks 2	Envy	Temperance	Crime		Male									No derangement	17							
Placeholder		Male	Outstanding	Mekhet	Senex	4	6	75	Gay	Normal	Greed	Prudence	Honorius		Male									Phobia	18							
Placeholder		Female	Exclusive	Ventrue	Legio Mortuum	2	2	100	Straight	Striking Looks 2	Sloth	Hope	Property		Female									No derangement	46							
Placeholder		Male	Old-fashioned	Julii	Peregrine Collegia	9	4	150	Straight	Normal	Sloth	Hope	Mercenary Work		Male									Fixation	20							
Placeholder		Female	Spiritual	Julii	Cult of Augurs	2	5	75	Straight	Normal	Greed	Charity	Legio Mortuum		Female									No derangement	47							
Placeholder		Female	Honorable	Julii	Senex	1	5	75	Straight	Normal	Greed	Prudence	Entertainment		Female									No derangement	49							
Placeholder		Male	Abounding	Nosferatu	Senex	2	5	150	Gay	Normal	Greed	Justice	Lore		Male									No derangement	43							
Placeholder		Male	Elite	Julii	Cult of Augurs	2	4	75	Straight	Striking Looks 4	Wrath	Fortitude	Ghouls		Male									No derangement	29							
Placeholder		Male	Lethal	Mekhet	Legio Mortuum	1	2	75	Gay	Striking Looks 2	Gluttony	Hope	Exotic Imports And Slaves		Male									Depression	29							
Placeholder		Male	Quirky	Gangrel	Senex	4	6	75	Straight	Normal	Pride	Temperance	Investigation		Male									No derangement	29							
Placeholder		Male	Imminent	Gangrel	Peregrine Collegia	3	6	50	Straight	Normal	Lust	Fortitude	Vigor Trainer		Male									No derangement	33							
Placeholder		Male	Damaged	Nosferatu	Cult of Augurs	2	5	50	Straight	Normal	Envy	Faith	Tax Collectors		Male									No derangement	30							
Placeholder		Male	Troubled	Ventrue	Senex	3	6	100	Straight	Normal	Lust	Prudence	Peregrine Collegia		Male									No derangement	43							
Placeholder		Male	Second-hand	Julii	Legio Mortuum	1	3	150	Straight	Striking Looks 2	Wrath	Fortitude	Auguries		Male									No derangement	61							
Placeholder		Male	Earthy	Gangrel	Peregrine Collegia	4	5	100	Bisexual	Normal	Pride	Justice	Vigor Trainer		Male									No derangement	20							
Placeholder		Female	Fierce	Daeva	Legio Mortuum	3	4	100	Straight	Striking Looks 2	Greed	Prudence	Blood		Female									No derangement	13							
Placeholder		Female	Mixed	Ventrue	Legio Mortuum	1	4	150	Straight	Striking Looks 2	Wrath	Prudence	Merchants		Female									No derangement	30							
Placeholder		Male	Optimal	Daeva	Cult of Augurs	2	4	150	Bisexual	Striking Looks 2	Wrath	Temperance	Entertainment		Male									Paranoia	47							
Placeholder		Female	Cheerful	Daeva	Peregrine Collegia	1	5	100	Bisexual	Striking Looks 2	Envy	Hope	Soldier Training		Female									No derangement	80							
Placeholder		Male	Intuitive	Daeva	Cult of Augurs	2	5	150	Straight	Striking Looks 4	Greed	Prudence	Merchants		Male									Vocalization	25							
Placeholder		Female	Grumpy	Daeva	Legio Mortuum	2	7	75	Straight	Normal	Lust	Hope	Lore		Female									No derangement	32							
Placeholder		Female	Supreme	Nosferatu	Peregrine Collegia	2	5	50	Straight	Normal	Lust	Fortitude	Soldier Training		Female									No derangement	53							
Placeholder		Female	Thundering	Mekhet	Legio Mortuum	2	7	50	Bisexual	Normal	Lust	Hope	Neonates		Female									Phobia	41							
Placeholder		Female	Priceless	Mekhet	Cult of Augurs	1	4	100	Straight	Normal	Sloth	Charity	Construction		Female									No derangement	51							
Placeholder		Female	Simplistic	Mekhet	Senex	3	6	75	Straight	Normal	Envy	Temperance	Peregrine Collegia		Female									Suspicion	18							
Placeholder		Male	Holistic	Gangrel	Peregrine Collegia	1	6	250	Bisexual	Normal	Lust	Prudence	Peregrine Collegia		Male									No derangement	30							
Placeholder		Female	Certain	Nosferatu	Peregrine Collegia	4	5	150	Straight	Normal	Wrath	Fortitude	Camarilla		Female									No derangement	32							
Placeholder		Male	New	Julii	Peregrine Collegia	2	4	75	Straight	Normal	Wrath	Prudence	Exotic Imports And Slaves		Male									Melancholia	25							
Placeholder		Female	Purring	Nosferatu	Legio Mortuum	2	4	150	Bisexual	Normal	Wrath	Faith	Exotic Imports And Slaves		Female									Depression	22							
Placeholder		Male	Ajar	Julii	Legio Mortuum	1	6	150	Straight	Normal	Envy	Fortitude	Nosferatu		Male									No derangement	17							
Placeholder		Male	Fair	Gangrel	Legio Mortuum	4	6	100	Straight	Normal	Sloth	Prudence	Nosferatu		Male									Avoidance	26							
Placeholder		Male	Tearful	Mekhet	Senex	2	2	75	Straight	Striking Looks 4	Greed	Charity	Lore		Male									No derangement	30							
Placeholder		Male	Disillusioned	Gangrel	Legio Mortuum	4	4	100	Straight	Normal	Envy	Justice	Patricians		Male									No derangement	37							
Placeholder		Male	Scattered	Daeva	Senex	3	5	75	Gay	Striking Looks 2	Lust	Justice	Neonates		Male									No derangement	25							
Placeholder		Female	Ultra	Julii	Peregrine Collegia	2	4	75	Straight	Striking Looks 2	Envy	Prudence	Artists		Female									Phobia	17							
Placeholder		Female	Clammy	Nosferatu	Cult of Augurs	6	4	100	Bisexual	Normal	Gluttony	Justice	Mercenary Work		Female									No derangement	32							
Placeholder		Female	Tranquil	Nosferatu	Legio Mortuum	1	6	50	Straight	Normal	Wrath	Prudence	Senex		Female									No derangement	62							
Placeholder		Male	Magenta	Daeva	Legio Mortuum	2	5	75	Straight	Normal	Greed	Faith	Crime		Male									No derangement	41							
Placeholder		Female	Sorrowful	Ventrue	Senex	1	6	50	Bisexual	Normal	Greed	Prudence	Patricians		Female									Megalomania	22							
Placeholder		Female	Soft	Ventrue	Peregrine Collegia	2	2	50	Gay	Normal	Sloth	Justice	Peregrine Collegia		Female									No derangement	36							
Placeholder		Female	Absurd	Nosferatu	Senex	7	5	75	Straight	Normal	Gluttony	Faith	Auspex		Female									No derangement	30							
Placeholder		Male	Unwieldy	Gangrel	Senex	1	5	75	Straight	Normal	Pride	Hope	Property		Male									Inferiority Complex	72							
Placeholder		Female	Convincing	Julii	Legio Mortuum	4	2	75	Straight	Normal	Lust	Charity	Entertainment		Female									No derangement	31							
Placeholder		Male	Ordinary	Julii	Peregrine Collegia	2	5	50	Straight	Normal	Greed	Temperance	Kine		Male									No derangement	27							
Placeholder		Female	Active	Daeva	Senex	1	5	75	Straight	Normal	Envy	Hope	Merchants		Female									Depression	79							
Placeholder		Female	Forgiving	Daeva	Senex	2	5	150	Straight	Normal	Lust	Faith	Honorius		Female									No derangement	79							
Placeholder		Male	Lucky	Gangrel	Cult of Augurs	1	6	75	Straight	Normal	Sloth	Prudence	Blood		Male									No derangement	34							
Placeholder		Male	Wary	Nosferatu	Senex	2	4	100	Gay	Normal	Gluttony	Faith	Property		Male									No derangement	21							
Placeholder		Female	Inconclusive	Mekhet	Legio Mortuum	2	5	75	Gay	Normal	Pride	Prudence	Legio Mortuum		Female									Narcissism	52							
Placeholder		Female	Telling	Julii	Senex	2	4	50	Straight	Striking Looks 4	Gluttony	Charity	Neonates		Female									No derangement	35							
Placeholder		Male	Futuristic	Ventrue	Senex	3	4	150	Straight	Normal	Envy	Justice	Blood		Male									No derangement	35							
Placeholder		Male	Probable	Ventrue	Senex	2	4	50	Straight	Normal	Pride	Faith	Nosferatu		Male									No derangement	51							
Placeholder		Female	Worthless	Julii	Senex	5	2	75	Straight	Normal	Greed	Prudence	Vigor Trainer		Female									No derangement	30							
Placeholder		Male	Shaggy	Mekhet	Legio Mortuum	2	1	100	Straight	Normal	Lust	Faith	Money		Male									No derangement	10							
Placeholder		Female	Inquisitive	Mekhet	Cult of Augurs	2	3	250	Straight	Normal	Lust	Temperance	Vigor Trainer		Female									No derangement	35							
Placeholder		Female	Possessive	Mekhet	Cult of Augurs	2	5	100	Straight	Normal	Envy	Faith	Patricians		Female									No derangement	26							
Placeholder		Male	Quirky	Mekhet	Senex	2	3	75	Straight	Normal	Wrath	Hope	Peregrine Collegia		Male									No derangement	46							
Placeholder		Male	Expensive	Julii	Peregrine Collegia	2	4	50	Straight	Normal	Sloth	Prudence	Mercenary Work		Male									No derangement	29							
Placeholder		Male	Meaty	Mekhet	Legio Mortuum	2	3	50	Straight	Normal	Pride	Hope	Ghouls		Male									No derangement	37							
Placeholder		Female	Pastoral	Julii	Senex	4	3	75	Straight	Striking Looks 2	Gluttony	Fortitude	Patricians		Female									No derangement	39							
Placeholder		Male	Tasty	Julii	Senex	2	5	150	Gay	Normal	Sloth	Hope	Entertainment		Male									Avoidance	22							
Placeholder		Female	Quirky	Julii	Peregrine Collegia	1	6	50	Gay	Striking Looks 2	Sloth	Justice	Curios		Female									No derangement	18							
Placeholder		Female	Bountiful	Ventrue	Senex	4	4	75	Straight	Normal	Sloth	Fortitude	Lore		Female									Avoidance	22							
Placeholder		Male	Sociable	Julii	Cult of Augurs	2	6	75	Straight	Striking Looks 2	Envy	Faith	Auspex		Male									Schizophrenia	65							
Placeholder		Male	Receptive	Julii	Cult of Augurs	1	5	250	Straight	Normal	Wrath	Prudence	Exotic Imports And Slaves		Male									No derangement	25							
Placeholder		Male	Colorful	Gangrel	Cult of Augurs	2	3	150	Straight	Normal	Envy	Charity	Investigation		Male									No derangement	24							
Placeholder		Female	Limping	Daeva	Cult of Augurs	2	4	50	Straight	Normal	Greed	Fortitude	Entertainment		Female									No derangement	55							
Placeholder		Male	Poor	Daeva	Cult of Augurs	2	4	250	Straight	Striking Looks 2	Gluttony	Justice	Exotic Imports And Slaves		Male									No derangement	41							
Placeholder		Male	Jazzy	Daeva	Cult of Augurs	2	7	75	Straight	Striking Looks 2	Wrath	Charity	Merchants		Male									Vocalization	42							
Placeholder		Male	Substantial	Daeva	Peregrine Collegia	7	5	100	Straight	Normal	Gluttony	Faith	Kine		Male									No derangement	30							
Placeholder		Male	Melancholic	Nosferatu	Cult of Augurs	4	3	100	Bisexual	Normal	Pride	Charity	Exotic Imports And Slaves		Male									No derangement	18							
Placeholder		Male	Pleasing	Mekhet	Senex	1	4	50	Straight	Normal	Wrath	Prudence	Merchants		Male									No derangement	28							
Placeholder		Female	Dependent	Daeva	Senex	2	5	100	Gay	Normal	Gluttony	Fortitude	Senex		Female									No derangement	50							
Placeholder		Female	Good Mannered	Gangrel	Senex	3	3	150	Straight	Striking Looks 2	Wrath	Prudence	Patricians		Female									No derangement	21							
Placeholder		Female	Dependent	Nosferatu	Legio Mortuum	3	2	100	Straight	Striking Looks 4	Wrath	Hope	Tax Collectors		Female									No derangement	18							
Placeholder		Female	Overt	Daeva	Legio Mortuum	5	5	75	Straight	Normal	Sloth	Faith	Curios		Female									No derangement	25							
Placeholder		Female	Philosophical	Ventrue	Peregrine Collegia	3	4	75	Straight	Normal	Envy	Justice	Tax Collectors		Female									No derangement	24							
Placeholder		Female	Smart	Julii	Legio Mortuum	1	4	250	Straight	Normal	Greed	Justice	Nosferatu		Female									No derangement	25							
Placeholder		Male	Tremendous	Ventrue	Senex	2	5	50	Straight	Normal	Greed	Fortitude	Patricians		Male									No derangement	47							
Placeholder		Male	Actually	Daeva	Cult of Augurs	2	4	50	Straight	Striking Looks 2	Gluttony	Charity	Political And Financial Broker		Male									No derangement	31							
Placeholder		Female	Familiar	Daeva	Senex	1	2	150	Straight	Normal	Envy	Temperance	Tax Collectors		Female									No derangement	17							
Placeholder		Female	Gregarious	Julii	Legio Mortuum	2	6	100	Gay	Normal	Pride	Fortitude	Lore		Female									No derangement	31							
Placeholder		Female	Frightened	Julii	Senex	3	3	100	Straight	Normal	Greed	Temperance	Investigation		Female									Vocalization	22							
